implementation,batch_size,seq_len,d_model,dtype,causal,forward_mean_ms,forward_std_ms,backward_mean_ms,backward_std_ms,forward_peak_gib,backward_peak_gib,status,error,run_id,domain
torch_compile,4,1024,64,float32,True,0.4492332656809594,0.0083384314703028,1.1416337331562925,0.018266140328441,0.036376953125,0.052978515625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,1024,64,float32,True,0.1895107995854535,0.0078909755196153,1.4597600670337367,0.0272804539692029,0.0207672119140625,0.067657470703125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,1024,128,float32,True,0.6422472661749149,0.1289613018988551,1.8241574667626992,0.1355647209309709,0.058837890625,0.091064453125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,1024,128,float32,True,0.5577995994826779,0.0292030376762706,1.2675387333729304,0.0149886629817535,0.041259765625,0.058837890625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,1024,128,float32,True,0.3662594664395631,0.0326930783801674,1.6639286661908652,0.067358848089508,0.0256500244140625,0.072540283203125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,2048,32,float32,True,3.2504369999514893,0.0580524666539956,8.73205473399139,0.2834706877820007,0.153564453125,0.275634765625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,2048,32,float32,True,1.4791283994175803,0.1418337462521047,4.177902533410816,0.237685792073768,0.083251953125,0.146728515625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,2048,32,float32,True,0.3676851997928073,0.0061083197647212,4.593752199677208,0.284292413633088,0.020782470703125,0.20831298828125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,2048,64,float32,True,3.431015800257834,0.230211295128196,8.722626066446537,0.2473306127131522,0.158447265625,0.281494140625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,2048,64,float32,True,1.5399071337014902,0.1468463963503549,4.533379533192298,0.5933307959442514,0.088134765625,0.152587890625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,2048,64,float32,True,0.5905983329284936,0.2064961257156195,5.215711933366644,0.4618420803763453,0.025665283203125,0.21319580078125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,2048,128,float32,True,3.606321266609788,0.3180843398780557,9.210157866618829,0.3532101466482894,0.168212890625,0.293212890625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch_compile,4,2048,128,float32,True,2.031144533733217,0.4174690726159056,5.363530266428522,0.4331950540341763,0.097900390625,0.164306640625,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
flash_triton,4,2048,128,float32,True,1.151119799760636,0.1930647538161682,5.89524953320506,0.2860260587561923,0.035430908203125,0.22296142578125,ok,,flash-attention_causal-core_impl-torch-torch_compile-flash_triton_b4_seq128-2048_d32-128_float32_causal_cuda_3db10bb4_20260514-213427,attention
torch,4,512,64,float32,True,0.2817983993736561,0.0171168133320657,0.6513068501590169,0.0608955319977943,0.0186767578125,0.03466796875,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,512,64,float32,True,0.1869871995950234,0.013045005647619,0.5491586000061943,0.0273357054903675,0.022216796875,0.026611328125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,512,64,float32,True,0.1197799498186213,0.0147667909986822,0.541014150257979,0.0940596321099343,0.0183181762695312,0.0652008056640625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,512,128,float32,True,0.2784113499728846,0.0279545628613329,0.6531437005833141,0.1147052300239984,0.029052734375,0.03759765625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch_compile,4,512,128,float32,True,0.2466354995704023,0.0091498833087127,0.677315899883979,0.1117345416942705,0.024658203125,0.029541015625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
flash_triton,4,512,128,float32,True,0.1764120499501587,0.0088490389981922,0.7188799003415625,0.1668394021953264,0.0207595825195312,0.0676422119140625,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
torch,4,1024,64,float32,True,0.6749087504431373,0.1411177367988707,1.858971450201352,0.1744754364606114,0.053955078125,0.085205078125,ok,,flash-attention_causal-large_impl-torch-torch_compile-flash_triton_b4_seq512-4096_d64-128_float32_causal_cuda_3db10bb4_20260514-215926,attention
